编号,名称,价格,描述
101,蓝牙耳机,1500,基础攻击+3，基础速度+1
102,断裂木块,1750,基础攻击+3，基础防御+1
103,草药袋,1250,基础生命上限+750；获得时：回复750生命
104,盒装燃条,1500,所有敌人速度×97%
105,虚化圣剑,5250,击杀6名敌人后：攻击倍率+60%；再击杀敌人后：清除上述获得的倍率
106,镇魂指针,1750,战斗的时间消耗固定为120分钟
107,信仰之卷,3250,拾取红宝石后：在本层藏品攻击提升2%基础攻击
108,苦沙,5250,所有敌人攻击×84%
109,千年菜单,1500,获得宝石时：回复35生命；获得收藏品时：回复400生命
110,立式扩音器,5250,伤害倍率+25%
111,自由之刃,3500,击杀敌人后：回复70生命
112,千年血刃,5500,攻击倍率+12%；获得时：将所有基础防御转化为基础攻击
113,血色补丁,1750,获得时：殿堂之辉+7
114,纸飞机「猎鹰」,6500,基础速度+9，速度倍率+18%
115,古刻泥板,4500,攻击倍率+12%
116,深蓝雾霭,4250,每击杀10名敌人：工业弹簧+1
117,单色显像管,2750,追加伤害+10
118,古塔屠龙剑,6750,基础攻击+21；战斗开始时：最终攻击提升敌人生命上限的2%
119,染血路牌,2250,红血瓶的效果×155%
120,万用容器,1250,获得时：地质锤+1，青山火药+1，工业弹簧+1，界世依花+1
121,仿制剑鞘,2750,基础攻击+6，基础速度+2
122,精致钢盔,3250,基础生命上限+1000，基础防御+10
123,破碎的钢化玻璃,3250,黄血瓶效果×180%，绿血瓶效果×180%
124,增益+30dB,5250,攻击倍率+33%，速度倍率-9%
125,不朽之躯,1750,藏品生命上限提升10%基础生命上限
126,蔬菜沙拉,3250,基础生命上限+1200；获得时：回复1200生命，气息上限+5，气息+30
127,老旧湿度计,2500,拾取8个宝石后：基础防御+1
128,一叠试卷,3750,基础生命上限+1200，基础攻击+4，基础防御+4，基础速度+2
129,无限水龙头,6250,基础速度+100，攻击倍率-50%
130,玻璃炸药,1750,追加伤害+34，敌人追加伤害+34
131,古代收发信机,3500,每拥有1件收藏品：藏品攻击提升0.4%基础攻击，藏品防御提升0.4%基础防御
132,极南苦果,3250,所有敌人生命上限×88%
133,覆雪萧枝,3500,蓝宝石的效果+50%
134,黄金环,4250,基础防御-8，防御倍率+20%
135,黄金锻模,3250,使用剑技的消耗×80%，（上限：减免2点）
136,最终方案,2250,气息低于20%时：最终攻击提升15%面板攻击，最终防御提升15%面板防御
137,魔能子弹,3250,击杀敌人后：其身后的所有敌人战斗开始时：敌人生命流失敌人生命上限的10%
138,破碎之梦,2750,基础攻击-6，基础防御-6；击杀120名敌人后：上述效果改为基础攻击+15，基础防御+15，（每局游戏限一次）
139,通用白衬衫,4250,基础防御+7，殿堂充能的增长速度-1
140,五分之三把刀,4500,击杀敌人后：当前地图中所有敌人战斗开始时：防御-1%
141,生锈钢针,4750,所有敌人生命上限×94%，所有敌人攻击×94%，所有敌人防御×94%
142,无形防线,5250,每场战斗抵挡敌人的1轮攻击
143,埋葬昨日的刀,5250,战斗开始时：敌人生命流失150%面板攻击
144,第12555块石碑,3750,获得时，金币+555
145,“落幕之前”,2250,基础攻击-5，基础防御+12，黄血瓶的效果×150%
146,断裂减速带,5500,殿堂之辉不能转化为速度，殿堂之辉转化的所有属性×1.35；获得时：殿堂之辉+2
147,人间绘纸,3750,基础生命上限+5000；获得时：回复5000生命
148,梦痕,2250,降低层级深度对敌人属性的影响
149,岁月之契,4500,高调语状态下不再降低自身伤害；获得时：调语+20
150,命运所指,4500,低调语状态下不再增加敌人伤害；获得时：调语-20
151,放大器组件,2250,攻击需要的行动点×90%
152,淬毒刀,3250,藏品攻击提升35%基础攻击，追加伤害+2
153,逆流之鳞,4250,所有敌人生命上限×85%
154,42号混凝土,2500,击杀15名敌人后：青山火药+1
155,澄澈星辉,4250,传说之辉提供的基础攻击+2，传说之辉提供的基础防御+2，传说之辉提供的基础速度+1；获得时：传说之辉+1
156,城市的乐谱,1750,进入新的层级时：消耗的时间减少2小时，回复的生命提升至70%；获得时，回复所有生命。
157,被遗忘的光环,5750,基础攻击+11，基础防御+11，基础速度+11
158,前世之尘,5250,首次行动值满时，若敌人生命值低于85%：本场战斗伤害倍率+60%
159,续杯,4250,血瓶效果×130%
160,屠龙水晶,2250,击杀一名敌人后：地图中另一名随机敌人战斗开始时：敌人生命流失敌人生命上限的4%
161,调语记录,3750,拾取蓝宝石后：气息+1，调语+1
162,绿色霓虹灯,5500,所有敌人防御×70%
163,血染的子弹,4750,击杀敌人后，若战斗有战损：本层藏品攻击+12；击杀敌人后，若战斗无战损：清除上述增益；
164,消解溶剂,3500,基础防御+10，所有敌人生命上限×94%
165,勘探徽章,1750,使用地质锤后：随机从以下三个选项中触发一项：金币+20，殿堂充能+20，传说充能+20
166,往昔之杖,3500,基础攻击+3，基础防御+3；进入新的层级时：上述的基础攻击额外+3，上述的基础防御额外+3
167,“星点光明”,1250,击杀敌人后，若使用了防御术：回复105生命
168,化梦香炉,4750,麻将槽位有空位时：攻击倍率+8%，防御倍率+8%
169,破坏性长笛,4250,进入未进入过的地图时：随机破坏4个墙体
170,弑君匕首,4750,若敌人为士兵或守卫：本场战斗伤害倍率+100%
171,惊爆价签,5250,收藏品价格×75%
172,炼药骨骼,2250,拾取蓝血瓶后：临时防御+1，调语-1
173,余晖,5500,击杀6名敌人后：按以下顺序获得效果：基础攻击+1，基础防御+1，基础速度+1，基础生命上限+100，金币+60
174,溯回残片,1750,基础速度+2；进入新的层级时：上述的基础速度额外+1
175,白色工服,3750,基础攻击+7，基础防御+5，基础速度+2
176,开锁工具,2250,开启白色机关门；获得时，调语-15
